in the
he got up
and took the
took the young
the young child
young child and
child and his
and his mother
and came into
came into the
into the land
the land of
land of israel
but when he
when it came
it came to
came to his
to his ears
his ears that
ears that john
that archelaus was
archelaus was ruling
was ruling over
ruling over judaea
over judaea in
judaea in the
in the writings
the place of
place of his
of his father
his father herod
he was in
was in fear
in fear of
fear of going
of going there
and god having
god having given
having given him
given him news
him news of
news of the
of the lord
the danger in
danger in a
in a dream
he went up
went out to
out of the
of the lord
the way of
way into the
into the land
the country of
country parts of
parts of galilee
and he said
he came and
came and said
and was living
was living in
living in a
in a dream
a town put
town named nazareth
so that the
that the word
the word of
word of the
of the lord
the prophets might
prophets might come
might come true
he will give
will be named
be named sons
named a nazarene
and in their
in those days
those days john
days john the
john the baptist
the baptist came
baptist came preaching
came preaching in
preaching in the
in the writings
the waste land
waste land to
land of israel
saying let your
let your hearts
your hearts be
hearts be turned
be turned from
turned from sin
for the kingdom
the kingdom of
kingdom of heaven
of heaven is
heaven is near
for this is
this is he
is he of
he of whom
of whom isaiah
whom isaiah the
isaiah the prophet
the prophet might
the voice of
voice of one
of one part
one crying in
crying in the
in the writings
the waste land
make ready the
ready the way
the way of
way of the
of the lord
make his roads
his roads straight
now john was
john was clothed
was clothed in
clothed in camel
hair with a
with a leather
a leather band
leather band about
band about him
and his mother
his food was
food was locusts
was locusts and
locusts and honey
then jerusalem and
jerusalem and all
and all the
all judaea went
judaea went out
went out to
out to him
and all the
all the parts
the people from
people from near
from near jordan
and they went
they were full
were given baptism
given baptism by
baptism by him
by him in
him in the
in the writings
the river jordan
saying openly that
openly that they
that they were
they had gone
had done wrong
but when he
when he saw
he saw two
saw a great
a number of
number of the
of the lord
the pharisees and
pharisees and sadducees
and sadducees coming
sadducees coming to
coming to his
to his ears
he said to
said to him
offspring of snakes
at whose word
whose word are
word are you
are making
going on
going in flight
in flight from
flight from the
from the wise
the wrath to
wrath to come
let your hearts
your change of
change of heart
of heart be
heart be seen
be seen in
seen in your
in your works
and say all
say not to
not to go
we have abraham
have abraham for
abraham for our
for our father
because i say
i say to
say to you
to death
that everyone
that god is
god is able
is able from
able from these
from these stones
these stones to
stones to make
to make one
make children for
children for abraham
and even now
even now the
now the axe
the axe is
axe is put
is put to
put to death
to the lord
the root of
root of the
of the lord
every tree then
tree then which
then which does
which does not
does not give
not give good
give good fruit
good fruit is
fruit is cut
is cut down
and put it
put into the
into the land
truly i say
i give you
give baptism with
baptism with the
with water to
water to those
to those in
those of you
of the
whose hearts
whose hearts are
hearts are changed
but he who
he who says
who comes after
comes after me
after me is
me is greater
is greater than
greater than the
whose shoes i
shoes i am
i am not
am not good
not good enough
good enough to
enough to take
to take the
he will give
will give you
give her
baptism by
baptism with the
with the holy
the holy spirit
holy spirit and
spirit and with
and with these
in whose hand
whose hand is
hand is the
is the town
the instrument with
instrument with which
with which he
which he will
he will give
will make you
make clean his
clean his grain
he will give
will put the
put the lord
the good grain
good grain in
grain in his
in his store
but the loss
the waste land
waste will be
will be named
be burned up
burned up in
up in the
in the writings
the fire which
fire which will
which will never
will never go
never be put
be put out
then jesus came
jesus came from
came from galilee
from galilee and
galilee to john
to john at
john at the
at the jordan
to be given
be given baptism
given baptism by
baptism by him
but john would
john would have
would have kept
have kept him
kept him back
saying it is
it is in
is i who
i who have
who have mercy
have need of
need of it
of baptism from
baptism from you
and do not
do not
come it
come to an
but jesus made
jesus made answer
saying to him
let it be
it be so
be so now
because so it
so it is
it is in
is right for
right for us
for us to
us to make
to make one
make righteousness complete
then he gave
he gave him
gave him worship
and jesus having
jesus having been
having been given
been given baptism
straight away went
away went up
went up from
up from the
from the wise
and the star
the heavens opening
he saw two
saw the young
the spirit of
spirit of god
of god coming
god coming down
coming down on
down on him
on him as
him as a
as a dove
and a tooth
a voice came
voice came out
came out of
out of the
saying this is
this is he
is my dearly
my dearly loved
dearly loved son
with whom i
whom i am
i am not
am well pleased
then jesus came
jesus was sent
was sent by
sent by the
by the sea
the spirit of
spirit into the
into the land
the waste land
waste land to
land to be
to be given
be tested by
tested by the
by the sea
the evil one
and after going
after going without
going without food
without food for
food for forty
for forty days
forty days and
days and forty
and forty nights
he was in
was in fear
in need of
need of it
and the star
the evil one
evil one took
one came and
came and said
and said to
said to him
if be
are making
are the son
the son of
son of god
give the word
the word of
word for these
for these stones
these stones to
stones to make
to become bread
but he who
he made them
made answer and
answer and said
it is in
is in the
in the writings
bread is not
is not put
only need but
need but every
but every word
every word which
word which comes
which comes out
comes out of
out of the
of the lord
the mouth of
mouth of god
then the evil
the evil one
evil one took
one took him
took him to
him to the
to the lord
the holy spirit
and he said
he put him
put him to
him on the
on the way
the highest point
highest point of
point of the
of the lord
the temple and
temple and said
and said to
said to him
if be
are making
are the son
the son of
son of god
let yourself go
yourself go down
for it is
it is in
is in the
in the writings
he will give
will give you
give his angels
his angels care
angels care over
care over you
and in their
in their synagogues
their hands they
hands they will
they will be
will keep you
keep it
so that the
that your brother
your foot may
foot may not
may not put
not be comforted
be crushed against
crushed against a
against a stone
jesus said to
said to him
again it is
it is in
is in the
in the writings
may be
may not put
not put the
put the lord
the lord your
lord your god
your god to
god to the
to the lord
again the evil
the evil one
evil one took
one took him
took him to
him up to
up to the
to a very
a very high
very high mountain
and let him
let him see
him see all
see all the
all the parts
the kingdoms of
kingdoms of the
of the lord
the world and
world and the
and the star
the glory of
glory of them
and he said
he said to
said to him
all these things
these things will
things will i
will i give
i give you
if be
will never
will go down
go down on
down on him
on your face
your face and
face and give
and give him
give me worship
then said jesus
said jesus to
jesus to him
away satan for
satan for it
for it is
it is in
is in the
in the writings
give worship to
worship to the
to the lord
the lord your
lord your god
your god to
god and be
and be his
be his servant
his servant only
then the evil
the evil one
evil one took
one went away
went away from
away from you
and angels came
angels came and
came and said
and took the
took care of
care of him
now when it
when it came
it came to
came to his
to his ears
his ears that
ears that john
that john had
john had been
had been put
been put in
put in prison
he went up
went away from
away to galilee
and going on
going away from
away from you
he came and
came and said
and made his
in capernaum which
capernaum which is
which is by
is by the
by the sea
in the writings
the country of
country of zebulun
of zebulun and
zebulun and the
so that the
that the word
the word of
word of the
of the lord
the prophet might
prophet isaiah might
isaiah might come
might come true
the land of
land of israel
of zebulun and
zebulun and the
and the star
the land of
land of israel
by the sea
the way of
way of the
of the lord
the other side
other side of
side of jordan
galilee of the
of the lord
the people from
people who were
who were ill
were in the
in the writings
the dark saw
dark saw a
saw a great
a great light
and to those
to those in
those in the
in the writings
the land of
land of israel
of the lord
the shade of
shade of death
of death did
death did the
did the dawn
the dawn come
dawn come up
from that time
that time jesus
time jesus went
jesus went about
went about in
about preaching and
preaching and saying
let your hearts
your hearts be
hearts be turned
be turned from
turned from sin
for the kingdom
the kingdom of
kingdom of heaven
of heaven is
heaven is near
and when he
when he saw
he was in
was walking by
walking by the
by the sea
the sea of
sea of galilee
he saw two
saw two brothers
simon whose other
whose other name
other name was
name was peter
and andrew his
andrew his brother
who were ill
were putting a
putting a net
a net into
net into the
into the land
for they will
they were full
and he said
he said to
said to him
come after me
and i will
i will make
will make you
make it
fishers of
fishers of men
and straight away
straight away went
away they let
they let go
let go the
go the nets
the nets and
nets and went
and went into
went after him
and going on
going on from
on from there
from there till
there he saw
he saw two
saw two brothers
two other brothers
james the son
the son of
son of god
and john his
john his brother
in the writings
the boat and
boat with their
with their father
stitching up their
up their nets
and he said
and they went
they went into
went straight from
straight from the
from the wise
the boat and
boat and their
and their father
their father and
father and came
and came into
came after him
and jesus having
jesus went about
went about in
about in all
in all the
teaching in their
in their synagogues
their synagogues and
synagogues and preaching
and preaching the
preaching the good
the good grain
good news of
news of the
of the lord
and making well
making well those
well those who
those who were
who were ill
were ill with
ill with any
with any disease
any disease among
disease among the
among the people
and news of
news of the
of him went
him went out
went out to
out through all
through all syria
and they went
they took to
took to him
to him who
him all who
all who were
who were ill
were ill with
ill with any
with different diseases
different diseases and
diseases and pains
those having evil
having evil spirits
evil spirits and
spirits and those
and those who
those who were
who were ill
were off their
off their heads
and those who
those who were
who had no
had no power
no power of
power of moving
and he said
he made them
made them well
and there went
there went after
went after him
after him great
him great numbers
great numbers from
numbers from galilee
from galilee and
galilee and decapolis
and decapolis and
decapolis and jerusalem
and jerusalem and
jerusalem and all
and judaea and
judaea and from
and from the
from the wise
the other side
other side of
side of jordan
and seeing great
seeing great masses
great masses of
masses of people
of people he
people he went
he went up
went up from
up into the
into the land
and when he
when he saw
he was in
was seated his
seated his disciples
his disciples came
disciples came to
came to his
and with these
with these words
these words he
words he gave
he gave him
gave them teaching
happy are the
are the son
the poor in
poor in spirit
for the kingdom
the kingdom of
kingdom of heaven
of heaven is
heaven is near
happy are the
are those who
those who were
who are in
for they will
they will be
will be named
happy are the
are the son
for the kingdom
the earth will
earth will be
will be named
be their heritage
happy are the
are those who
those whose heart
desire is for
is for righteousness
for they will
they will be
will have their
have their desire
happy are the
are those who
those who were
who have mercy
for they will
they will be
will be named
be given baptism
happy are the
are the son
the clean in
clean in heart
for they will
they will be
will see god
happy are the
are the son
for they will
they will be
will be named
be named sons
named sons of
sons of god
happy are the
are those who
those who were
who are in
are attacked on
attacked on account
on account of
account of righteousness
for the kingdom
the kingdom of
kingdom of heaven
of heaven is
heaven will be
will be named
happy are the
are making
when men
when men give
men give you
give her
a bad
a bad name
and are cruel
are cruel to
cruel to you
and say all
say all evil
all evil things
evil things against
things against you
against the
because of me
be glad and
glad and full
and full of
full of joy
for great is
great is your
is your reward
your reward in
reward in heaven
for so were
so were the
were the prophets
the prophets might
prophets attacked who
attacked who were
who were ill
were before you
are making
are the son
the salt of
salt of the
of the lord
but if its
if its taste
its taste goes
taste goes from
goes from the
from the wise
how will you
will never
make it
make it salt
it salt again
it is in
is then good
then good for
good for nothing
for nothing but
nothing but to
but to him
to be given
be put out
put out and
out and put
and crushed under
crushed under foot
under foot by
foot by men
are making
are the son
the light of
light of the
of the lord
a town put
town put on
put on a
on a hill
a hill may
hill may be
may be put
be seen in
seen by all
and a tooth
a burning light
burning light is
light is not
is not put
not put the
put under a
under a vessel
but on its
on its table
so that the
that its rays
its rays may
rays may be
may be put
be shining on
shining on all
on all who
all who were
who are in
are in the
in the writings
even so let
so let your
let your hearts
your light be
light be shining
be shining on
shining before men
so that the
that they were
they may see
may see your
see your good
your good works
good works and
works and give
and give him
give glory to
glory to your
to your oaths
your father in
father in heaven
let there be
there be no
be no thought
no thought that
thought that i
that i have
i have come
have come to
come to an
to put him
put an end
an end to
end to the
to the lord
the law or
law or the
or the prophets
i have come
have not come
not come for
come for destruction
but to him
to make one
truly i say
i say to
say to you
till heaven and
heaven and earth
and earth come
earth come to
come to an
to an end
not the smallest
the smallest letter
smallest letter or
letter or part
or part of
part of a
of a letter
a letter will
letter will in
will in any
in any way
any way be
way be taken
be taken from
taken from the
from the wise
till all things
all things are
things are done
whoever then goes
then goes against
goes against the
against the smallest
the smallest letter
smallest of these
of these laws
teaching men to
men to do
to do the
do the same
will be named
be named sons
named least in
least in the
in the writings
the kingdom of
kingdom of heaven
but he who
he who says
who keeps the
keeps the laws
teaching others to
others to keep
to keep them
will be named
be named sons
named great in
great in the
in the writings
the kingdom of
kingdom of heaven
for i say
i say to
say to you
if your right
your righteousness is
righteousness is not
is not put
not greater than
greater than the
than the righteousness
the righteousness of
righteousness of the
of the lord
the scribes and
scribes and pharisees
will never
will never go
never go into
go into the
into the land
the kingdom of
kingdom of heaven
have knowledge
have knowledge that
knowledge that it
that it was
it was said
was said in
said in old
in old times
may be
may not put
not put the
put to death
and whoever says
whoever puts to
puts to death
to death all
death will be
will be named
be in danger
in danger of
danger of being
of being judged
but i say
i say to
say to you
to death
that everyone
that everyone who
everyone who is
who is angry
is angry with
angry with his
with his brother
his brother will
brother will be
will be named
be in danger
in danger of
danger of being
of being judged
and he said
he who says
who says to
says to his
to his ears
raca will be
will be named
be in danger
in danger of
danger from the
from the wise
and whoever says
foolish one
will be named
be in danger
in danger of
danger of being
of the lord
the hell of
hell of fire
if then you
then took
are making
are making an
making an offering
an offering at
offering at the
at the jordan
the altar and
altar and there
and there went
there it comes
it comes to
comes to your
to your oaths
your mind that
mind that your
that your brother
your brother has
brother has something
has something against
something against you
while your offering
your offering is
offering is still
is still before
still before the
before the altar
first go and
go and make
and make peace
make peace with
peace with your
with your brother
then come and
come and give
and make peace
make your offering
come to an
to an end
an agreement quickly
agreement quickly with
quickly with him
with him on
him who has
who has a
has a cause
a cause of
cause against you
against the
at law
while these
are making
are with him
with him on
him on the
on the way
for fear that
fear that he
that he may
he may give
may give you
give her
up on
up to the
to the lord
the judge and
judge and the
and the star
the judge and
judge may give
may give you
give her
to death
to the lord
the police and
police and you
and takes
may be
may be put
be put out
put into the
truly i say
i say to
say to you
will never
will not come
not come for
come out from
out from there
from there till
there till the
till sent
have knowledge
have made payment
made payment of
payment of the
of the lord
the very last
very last farthing
have knowledge
have knowledge that
knowledge that it
that it was
it was said
may be
may not put
not have connection
have connection with
connection with her
with another man
but i say
i say to
say to you
to death
that everyone
that everyone who
everyone whose eyes
whose eyes are
eyes are turned
are turned on
turned on a
on a hill
a woman with
woman with desire
with desire has
desire has had
has had connection
had connection with
connection with her
with her in
her in his
in his store
and if your
if your right
your right eye
right eye is
eye is a
is a cause
a cause of
cause of trouble
of trouble to
trouble to you
take it out
it out and
out and put
and put it
put it away
it away from
away from you
because it is
it is in
is better to
better to undergo
to undergo the
undergo the loss
the loss of
loss of one
of one part
than for all
for all your
all your body
your body to
body to go
to go into
go into the
and if your
if your right
your right eye
right hand is
hand is the
is a cause
a cause of
cause of trouble
of trouble to
trouble to you
let it be
it be so
be cut off
cut off and
off and put
and put it
put it away
it away from
away from you
because it is
it is in
is better to
better to undergo
to undergo the
undergo the loss
the loss of
loss of one
of one part
than for all
for all your
all your body
your body to
body to go
to go into
go into the
again it is
it was said
whoever puts to
puts away his
away his wife
his wife has
wife has to
has to give
to give her
give her a
her a statement
a statement in
statement in writing
in writing for
writing for this
for this is
but i say
i say to
say to you
to death
that everyone
that everyone who
everyone who is
who puts away
puts away his
away his wife
his wife has
wife for any
for any other
any other cause
other cause but
cause but the
but the loss
the loss of
loss of one
of her virtue
makes her false
her false to
false to her
to her husband
and whoever says
whoever takes her
takes her as
her as his
as his wife
his wife has
wife after she
after she is
she is put
is put to
is no true
no true husband
true husband to
husband to her
again the
have knowledge
have knowledge that
knowledge that it
that it was
it was said
was said in
said in old
in old times
do not go
not take false
take false oaths
but give effect
give effect to
effect to your
to your oaths
your oaths to
oaths to the
to the lord
but i say
i say to
say to you
take no oaths
no oaths at
oaths at all
not by the
by the sea
because it is
it is in
is the town
the seat of
seat of god
or by the
by the sea
because it is
it is in
for his foot
or by the
because it is
it is in
is the town
the town of
town of the
of the lord
the great king
may be
may not put
not take false
take an oath
an oath by
oath by your
by your head
because seen
are making
are not the
not able to
able to make
to make one
make one hair
one hair white
hair white or
white or black
but let your
let your hearts
your words be
words be simply
yes or no
and whatever is
whatever is more
is more than
more than these
than these is
these is of
is of the
of the lord
the evil one
have knowledge
have knowledge that
knowledge that it
that it was
it was said
an eye for
eye for an
for an eye
and a tooth
a tooth for
tooth for a
for a tooth
but i say
i say to
say to you
do not go
not make use
make use of
use of force
of force against
force against an
against an evil
an evil man
but to him
to him who
him who has
who gives you
gives her
a bad
a blow on
blow on the
on the way
the right side
right side of
side of jordan
of your face
your face and
face let the
let the left
the left be
left be turned
and if your
if any man
any man goes
man goes to
goes to law
to law with
law with you
with fire
and takes
and takes away
takes away your
away your coat
do not go
not keep back
keep back your
back your robe
your robe from
robe from him
